iter	Passed	Remaining
0	1	123
1	2	112
2	3	105
3	4	97
4	5	96
5	6	96
6	7	100
7	8	99
8	9	98
9	10	96
10	11	94
11	12	93
12	13	91
13	14	89
14	15	88
15	16	86
16	17	85
17	18	84
18	19	83
19	20	82
20	21	82
21	22	80
22	23	79
23	24	78
24	25	77
25	26	75
26	27	74
27	28	73
28	29	72
29	30	71
30	31	70
31	32	69
32	33	68
33	34	67
34	35	66
35	37	65
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	42	59
42	43	58
43	44	57
44	45	56
45	47	55
46	48	54
47	49	53
48	50	52
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	46
56	59	44
57	60	43
58	61	43
59	62	41
60	64	40
61	65	39
62	66	38
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	19
82	87	18
83	88	16
84	90	15
85	91	14
86	91	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	106	0
