iter	Passed	Remaining
0	144	144033
1	145	72465
2	146	48610
3	147	36669
4	148	29595
5	149	24830
6	151	21431
7	152	18862
8	153	16858
9	154	15259
10	155	13958
11	156	12860
12	157	11935
13	158	11145
14	159	10469
15	160	9861
16	161	9335
17	162	8857
18	163	8438
19	164	8063
20	165	7722
21	166	7421
22	168	7138
23	169	6903
24	170	6668
25	172	6454
26	173	6249
27	174	6060
28	175	5883
29	176	5715
30	177	5554
31	178	5411
32	180	5282
33	181	5157
34	182	5035
35	183	4921
36	184	4812
37	186	4712
38	187	4615
39	188	4519
40	189	4436
41	190	4350
42	191	4268
43	192	4187
44	194	4120
45	195	4054
46	196	3988
47	198	3928
48	199	3866
49	200	3806
50	201	3748
51	202	3690
52	203	3635
53	204	3580
54	205	3528
55	206	3479
56	207	3432
57	208	3389
58	209	3347
59	210	3304
60	211	3262
61	212	3221
62	213	3181
63	215	3144
64	215	3106
65	216	3069
66	217	3031
67	218	2994
68	219	2960
69	220	2928
70	221	2896
71	222	2864
72	224	2844
73	225	2822
74	226	2799
75	228	2778
76	229	2754
77	230	2729
78	231	2703
79	233	2682
80	234	2658
81	235	2635
82	236	2607
83	237	2586
84	238	2568
85	239	2548
86	241	2530
87	242	2510
88	243	2490
89	244	2472
90	245	2454
91	246	2435
92	248	2420
93	249	2401
94	250	2383
95	251	2367
96	253	2357
97	254	2345
98	256	2332
99	257	2317
100	258	2302
101	259	2287
102	260	2272
103	262	2259
104	263	2244
105	264	2228
106	265	2214
107	266	2199
108	267	2189
109	269	2176
110	269	2162
111	270	2148
112	272	2135
113	273	2123
114	274	2110
115	275	2097
116	276	2083
117	277	2070
118	277	2058
119	279	2047
120	280	2037
121	281	2028
122	283	2019
123	284	2010
124	285	2001
125	287	1991
126	288	1983
127	290	1975
128	291	1966
129	292	1957
130	293	1949
131	295	1940
132	296	1934
133	298	1927
134	299	1922
135	301	1914
136	302	1907
137	304	1899
138	305	1890
139	306	1881
140	307	1873
141	308	1863
142	309	1854
143	310	1846
144	311	1839
145	313	1832
146	314	1825
147	315	1818
148	316	1810
149	318	1803
150	319	1795
151	320	1787
152	321	1780
153	322	1773
154	323	1766
155	325	1759
156	326	1753
157	328	1750
158	329	1743
159	330	1737
160	331	1728
161	332	1722
162	334	1715
163	335	1710
164	336	1704
165	337	1697
166	339	1691
167	340	1684
168	341	1679
169	343	1675
170	344	1670
171	345	1664
172	346	1657
173	348	1652
174	349	1646
175	350	1640
176	351	1633
177	352	1628
178	353	1622
179	355	1618
180	356	1615
181	358	1609
182	359	1605
183	360	1600
184	362	1594
185	363	1589
186	364	1585
187	365	1579
188	366	1573
189	368	1568
190	369	1565
191	371	1561
192	372	1557
193	373	1552
194	374	1547
195	392	1608
196	393	1602
197	394	1596
198	395	1591
199	396	1585
200	397	1580
201	398	1574
202	399	1568
203	400	1563
204	401	1558
205	403	1554
206	404	1549
207	405	1545
208	407	1542
209	408	1537
210	409	1532
211	410	1527
212	412	1522
213	413	1517
214	414	1512
215	415	1508
216	416	1504
217	418	1499
218	419	1495
219	420	1490
220	421	1486
221	423	1483
222	424	1479
223	425	1474
224	427	1470
225	428	1467
226	429	1463
227	430	1458
228	432	1455
229	433	1451
230	435	1448
231	436	1446
232	438	1442
233	439	1438
234	440	1434
235	442	1431
236	443	1426
237	444	1422
238	445	1419
239	446	1415
240	448	1411
